stage,model_name,attention,head,activation,train_scope,seeds
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,1
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1
grid,grid_efficientnetb0_noattn_mlp512_silu_added_only,none,mlp512,silu,added_only,1
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,1
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,1
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,1
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,1
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,1
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,1
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,1
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,1
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,1
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,1
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,1
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,1
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,1
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,1
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,1
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,1
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1
